clublink,clubdata,phonenumber,mailaddress,webpage
Tanzclub Classic e.V.,"Tanzclub Classic e.V.

     Schalkauer Str. 35 

     13055 Berlin",null,info(at)tcj(dot)de,www.tanzclub-classic.de
Badminton Test-Club BTC e. V.,"Badminton Test-Club BTC e. V.

     Lützowplatz 11-13 

     10785 Berlin",26312734,c.herrmann(at)stiftung-warentest(dot)de,null
Sport- und Angelverein Breitehorn e. V.,"Sport- und Angelverein Breitehorn e. V.

     Breitehornweg 46 

     14089 Berlin",null,info(at)savbreitehorn(dot)de,http://www.savbreitehorn.de
Kyudo Mitte e. V.,"Kyudo Mitte e. V.

     Körnerstraße 6 

     10785 Berlin",2627494,null,null
Tanzclub Mondial Berlin e. V.,"Tanzclub Mondial Berlin e. V.

     Am Kienpfuhl 20 

     12347 Berlin",15221664120,vorsitzender(at)tcmondial(dot)de,www.tc-mondial-berlin.de
Gymnastik-Verein Loheland e. V.,"Gymnastik-Verein Loheland e. V.

     Altmarkstr. 10 

     12157 Berlin",7978 0879,raisch(at)aol(dot)com,null
Schützenclub 2011 e. V.,"Schützenclub 2011 e. V.

     Galenusstraße 30 

     13187 Berlin",null,null,null
jugend-senioren-Aktiv e. V.,"jugend-senioren-Aktiv e. V.

      

      Berlin",null,null,null
Streetball League e. V.,"Streetball League e. V.

     Wilhelm-Stolze-Straße 34 

     10249 Berlin",null,null,null
Motor-Club Nord e. V. im ADAC,"Motor-Club Nord e. V. im ADAC

     Blunckstraße 12 

     13437 Berlin",40397585,mcnord.adac(at)gmx(dot)de,www.mc-nord.de
Anglerverein Einigkeit Spandau e. V.,"Anglerverein Einigkeit Spandau e. V.

     Marienfelder Alle 15 

     12277 Berlin",721 7973,null,www.av-einigkeit.de
VC Marien e. V.,"VC Marien e. V.

     Oranienstraße 2 a 

     10997 Berlin",61629944,v.duckwitz(at)web(dot)de,null
Frohnauer Reitclub e. V.,"Frohnauer Reitclub e. V.

     Am Poloplatz 9 

     13465 Berlin",null,info(at)frohnauer-reitclub(dot)de,www.frohnauer-reitclub.de
Frohnauer Sport Club 1946 e. V.,"Frohnauer Sport Club 1946 e. V.

     Schönfließer Straße 12 a 

     13465 Berlin",40637755,info(at)frohnauersc(dot)de,www.frohnauersc.de
Handball Club Nord-Berlin e. V.,"Handball Club Nord-Berlin e. V.

     Hermann-Piper-Str. 31 

     13403 Berlin",030-419 372 05,null,null
BSG Kaufmännische Krankenkasse (KKH),"BSG Kaufmännische Krankenkasse (KKH)

     Jänickestrsse 76 

     14167 Berlin",308117051,peters2505(at)arcor(dot)de,null
Hockey-Club Argo 04 e. V. Charlottenburg,"Hockey-Club Argo 04 e. V. Charlottenburg

     Westendallee 78 

     14052 Berlin",0177 682 94 41,verwaltung(at)argo04(dot)de,www.argo04.de
Wandersportverein Rotation Berlin e. V.,"Wandersportverein Rotation Berlin e. V.

     Mahlsdorfer Straße 57 

     12555 Berlin",030-5503632,EcKnauer(at)outlook(dot)com,www.wandersportverein-rotation-berlin.de
Tennisclub Schwarz-Gold Berlin e. V.,"Tennisclub Schwarz-Gold Berlin e. V.

     Manetstr. 76 

     10367 Berlin",null,info(at)tc-schwarzgold(dot)de,www.tc-schwarzgold.de
Nautic-Sport-Gemeinschaft 1996 e. V.,"Nautic-Sport-Gemeinschaft 1996 e. V.

     Niebuhrstraße 20 

     10629 Berlin",3246118,nsg96(at)aol(dot)com,www.nsg96.de
Real von Chamisso Berlin e. V.,"Real von Chamisso Berlin e. V.

     Gartenstraße 111 

     10115 Berlin",1757279981,jasonaltehoefer(at)gmail(dot)com,www.realvonchamisso.com
Polizei-Sport-Verein Berlin e. V.,"Polizei-Sport-Verein Berlin e. V.

     Dülmener Pfad 14a 

     13507 Berlin",435 15 69,PSVBerlin(at)gmx(dot)de,www.polizei-sport-verein-berlin.de
BSG Spinne Zehlendorf,"BSG Spinne Zehlendorf

     Glauberstraße 21 

     12209 Berlin",7447515,K.stephan.berlin(at)t-online(dot)de,null
SK Präsident,"SK Präsident

      

      Berlin",null,null,null
Ball Paradox e. V.,"Ball Paradox e. V.

     Agricolastraße 31 

     10555 Berlin",787 32-903,ballparadox(at)arcor(dot)de,null
Potsdamer Ruder-Club Germania e. V. 1883,"Potsdamer Ruder-Club Germania e. V. 1883

     Am Großen Wannsee 46 

     14109 Berlin",17618522030,info(at)prcg(dot)de,www.prcg.de
Sportverein Wasserfreunde Grünau e. V.,"Sportverein Wasserfreunde Grünau e. V.

     Walzelstraße 3 

     13581 Berlin",36759420 / 01723839150,vorstand(at)wasserfreunde-gruenau(dot)de,www.wasserfreunde-gruenau.de
BSG Kraftwerks- und Anlagenbau,"BSG Kraftwerks- und Anlagenbau

     Postfach 33 

     15566 Schöneiche",1729236959,andre.busse(at)kab-sport(dot)org,www.kab-sport.de
Goldener Drache e. V.,"Goldener Drache e. V.

     Am Hirschwechsel 19 

     13503 Berlin",45290698,goldenerdrache(at)gmx(dot)de,www.goldenerdrache.de
Fachvereinigung Bowling e. V.,"Fachvereinigung Bowling e. V.

     Postfach 45 02 43 

     12172 Berlin",4137017,fvb-berlin(at)t-online(dot)de,null
Schachgemeinschaft Wedding e. V.,"Schachgemeinschaft Wedding e. V.

     Spielhagenstraße 6 

     10585 Berlin",030/341 10 49,e-h.mueller(at)arcor(dot)de,null
Rudergesellschaft Wiking Berlin e. V.,"Rudergesellschaft Wiking Berlin e. V.

     Haarlemer Straße 45 e 

     12359 Berlin",6854022,buero(at)rg-wiking(dot)de,www.rg-wiking.de
Berlin Baskets e. V.,"Berlin Baskets e. V.

     Sportforum, Weißenseer Weg 51 

     13053 Berlin",98194226,info(at)berlin-baskets(dot)de,www.berlin-baskets.de
Pool Shooters Berlin e. V.,"Pool Shooters Berlin e. V.

     Jacobsohnstraße 18-20 

     13086 Berlin",null,f.braeschke(at)web(dot)de,http://poolshooters.de
Anglerverein am Schwanenwerder e. V.,"Anglerverein am Schwanenwerder e. V.

     Zellerweg 16 

     12355 Berlin",15121105734,null,null
Motorflugsportclub Berlin e. V.,"Motorflugsportclub Berlin e. V.

     Kühnemannstraße 22-24 

     13409 Berlin",4921064,mfc-belin(at)web(dot)de,www.mfc-berlin.de
BSG ALBA AG und Co. KG,"BSG ALBA AG und Co. KG

     Feldstraße 37 

     12207 Berlin",712 82 21,wolfbroede(at)t-online(dot)de,null
Berliner Polo-Club e. V.,"Berliner Polo-Club e. V.

     Bergmannstraße 3 

     14163 Berlin",84108720,info(at)berlinerpoloclub(dot)de,www.Berlinerpoloclub.de
BSG tageszeitung,"BSG tageszeitung

     Käthe-Niederkirchner-Straße 25 

     10407 Berlin",null,michael.sontheimer(at)elektropost(dot)org,null
BiS Bildung & Sport e. V.,"BiS Bildung & Sport e. V.

     Exerzierstraße 26 

     13357 Berlin",1772722863,info(at)bildung-sport(dot)de,www.bildung-sport.de
Kanusport-Vereinigung Havelbrüder e. V.,"Kanusport-Vereinigung Havelbrüder e. V.

     Bürgerheimstraße 20 

     10365 Berlin",030767681-0,Paul.Bundschuh(at)gmail(dot)com,www.ksvh.de
Sport- und Spielverein Rotation Berlin,"Sport- und Spielverein Rotation Berlin

     Luchweg 7 

     15741 Bestensee",28484722,info(at)ssvrotation-berlin(dot)de,www.ssvrotation-berlin.de
Segelclub Aegir 1921 e. V.,"Segelclub Aegir 1921 e. V.

     Siegfriedstr.4 

     15712 Zernsdorf",15118511346,info(at)sc-aegir(dot)de,www.sc-aegir.de
Berlinsan Taekwondo Sportverein e.V.,"Berlinsan Taekwondo Sportverein e.V.

     Potsdamer Str. 150 

     10783 Berlin",0179-450 54 12,Berlinsando(at)yahoo(dot)de,null
Sportvereinigung Zehlendorfer Eichhörnchen e.V.,"Sportvereinigung Zehlendorfer Eichhörnchen e.V.

     Fritz-Erler-Allee 112 

     12351 Berlin",603 31 31,nflor(at)t-online(dot)de,null
Ruderverein Empor e. V.,"Ruderverein Empor e. V.

     Regattastraße 251 

     12527 Berlin",6744780,vorstand(at)rv-empor(dot)de,www.rv-empor.de
Köpenicker Sport-Club e. V.,"Köpenicker Sport-Club e. V.

     Wendenschlossstraße 182 

     12557 Berlin",655 88 27,koepenickersc(at)t-online(dot)de,www.koepenickersc.de
Deutsche Jugendkraft Frauenfußball Club Britz 09 e. V.,"Deutsche Jugendkraft Frauenfußball Club Britz 09 e. V.

     Alt-Rudow 41 

     12357 Berlin",0173/2065777,karstenkube(at)djk-ffc-britz09ev(dot)de,djk-ffc-britz09ev.de
Angelsport-Verein Saatwinkel 1921,"Angelsport-Verein Saatwinkel 1921

     Rosentreterpromenade 27 

     13437 Berlin",4111325,av-saatwinkel(at)arcor(dot)de,http://www.av-saatwinkel.de/index.html
Ferrum Berlin e. V.,"Ferrum Berlin e. V.

     Aschaffenburger Straße 23 

     10779 Berlin",null,null,null
Berliner Turn- und Sportvereinigung von 1850 e. V.,"Berliner Turn- und Sportvereinigung von 1850 e. V.

     Ernststraße 58 

     13509 Berlin",1739057376,kessel-berlin(at)web(dot)de,null
OsteoMed Gesundheitssport e. V.,"OsteoMed Gesundheitssport e. V.

     Alt-Moabit 101 b 

     10559 Berlin",null,null,null
Sportliche Vereinigung Justitia Berlin e. V.,"Sportliche Vereinigung Justitia Berlin e. V.

     Ilsestraße 24 

     12051 Berlin",1741617467,null,ww.sv-justitia-berlin.de
Ü-100-Team Berlin,"Ü-100-Team Berlin

     Schwarzastr.4 

     12055 Berlin",0152 28637200,a-m100team(at)yahoo(dot)de,null
MedTrain Gesundheitstreff,"MedTrain Gesundheitstreff

      

      Berlin",null,null,null
Timeout Kreuzberg e. V.,"Timeout Kreuzberg e. V.

     Pücklerstraße 31 

     10997 Berlin",1747757510,null,null
Sportgemeinschaft Handicap Berlin e. V.,"Sportgemeinschaft Handicap Berlin e. V.

     Neue Kantstraße 23-24 

     14057 Berlin",25469336,info(at)sgh-berlin(dot)de,sgh-berlin.de
SpVgg Tiergarten 58 e. V.,"SpVgg Tiergarten 58 e. V.

     Lesser-Ury-Weg 11 

     10557 Berlin",3947429,spuhli(at)t-online(dot)de,null
Sport Verein Stern Britz 1889 e. V.,"Sport Verein Stern Britz 1889 e. V.

     Buckower Damm 150 

     12349 Berlin",6047914,STERNBritz(at)t-online(dot)de,www.sternbritz.de
FC MATTHIES e. V.,"FC MATTHIES e. V.

     Quickborner Straße 48-50 

     13439 Berlin",40769133,tm(at)matthies-berlin(dot)de,null
FC Köpenicker Kickers 1990 e. V.,"FC Köpenicker Kickers 1990 e. V.

     PF 08 03 37 

     10003 Berlin",1721416124,andreas.nisser(at)yahoo(dot)de,null
RV Ponyfarm Spandau,"RV Ponyfarm Spandau

      

      Berlin",null,null,null
Frauen-Ruder-Club Wannsee e. V.,"Frauen-Ruder-Club Wannsee e. V.

     Schrockstraße 1 

     14165 Berlin",030 36 46 24 19,heikestich(at)web(dot)de,null
Wu Shu Men e. V.,"Wu Shu Men e. V.

     Revalerstr. 99 

     10245 Berlin",0152-540 631 51,master(at)lightvision(dot)org,null
EIHC Southstars Berlin e. V.,"EIHC Southstars Berlin e. V.

     Hoeppnerstraße 97 

     12101 Berlin",1777891357,carsten.gobel(at)nocom(dot)de,null
Berliner Tisch-Tennis-Club Meteor e. V.,"Berliner Tisch-Tennis-Club Meteor e. V.

     Am Viertelsring 10a 

     15366 Neuenhagen",15155606858,peter.logsch(at)meteor-tt(dot)de,www.meteor-tt.de
Jugendfußballclub Berlin e. V. (JFC Berlin),"Jugendfußballclub Berlin e. V. (JFC Berlin)

     Rosenfelder Straße 15/16 

     10315 Berlin",030-62608042,vorstand(at)jfcberlin(dot)de,www.jfcberlin.de
Sportclub Eintracht Berlin e.V.,"Sportclub Eintracht Berlin e.V.

     Eisenacher Straße 125 

     12685 Berlin",030-5633569,info(at)sc-eintracht-berlin(dot)de,www.sc-eintracht-berlin.de
Schachclub ROCHADE e. V.,"Schachclub ROCHADE e. V.

     Wittenberger Straße 33 

     12689 Berlin",null,null,null
Tanz-Sport-Gruppe Rixdorf e. V.,"Tanz-Sport-Gruppe Rixdorf e. V.

     Elly-Heuss-Knapp-Straße 23 

     12355 Berlin",66461815,tsgrixdorf(at)arcor(dot)de,www.tanzsportrixdorf.de
Padel Club Berlin International e. V.,"Padel Club Berlin International e. V.

     Parkstraße 94 

     13086 Berlin",1754411621,null,null
Segelclub Brise 1898 e. V.,"Segelclub Brise 1898 e. V.

     Wendenschloßstraße 390 

     12557 Berlin",6519843,segeln(at)sc-brise(dot)de,www.sc-brise.de
Tennis-Verein TeBe e. V.,"Tennis-Verein TeBe e. V.

     Harbigstr. 40 

     14055 Berlin",3441021,info(at)Tennis-Verein-TeBe(dot)de,tennis-verein-tebe.de
Interkulturelle Sportakademie Schöneberg e. V.,"Interkulturelle Sportakademie Schöneberg e. V.

     Kolonnenstr.20 

     10829 Berlin",null,sportakademie_schbg(at)yahoo(dot)de,iss-berlin.com
Aikido Berlin-Treptow,"Aikido Berlin-Treptow

      

      Berlin",null,null,null
Weißenseer Schachclub 90 e. V.,"Weißenseer Schachclub 90 e. V.

     Falkenberger Chaussee 126 

     13057 Berlin",9205661,null,null
Robin's Kids e. V.,"Robin's Kids e. V.

     Heynstr. 23 

     13187 Berlin",null,robins-kids(at)web(dot)de,www.robins-kids.de
Sport-Club John-F.-Kennedy-Schule Berlin e. V.,"Sport-Club John-F.-Kennedy-Schule Berlin e. V.

     Teltower Damm 87 - 93 

     14167 Berlin",null,info.scjfks(at)gmail(dot)com,www.sc-jfks-berlin.de
Schöneberger Schützengilde 1906 e.V.,"Schöneberger Schützengilde 1906 e.V.

     Bülowstraße 98 

     10783 Berlin",25700206,Rallerausch(at)arcor(dot)de,null
Tischtennisverein Treptow '90 e. V.,"Tischtennisverein Treptow '90 e. V.

     Helsingforser Str. 29 

     10243 Berlin",2964105 p.,Pthiele2007(at)aol(dot)com,null
Turn-Sport-Verein Berlin-Wittenau 1896 e. V.,"Turn-Sport-Verein Berlin-Wittenau 1896 e. V.

     Senftenberger Ring 53 

     13435 Berlin",415  68 67,info(at)tsv-berlin-wittenau(dot)de,www.tsv-berlin-wittenau.de
Marzahner Volleyball-Club e. V.,"Marzahner Volleyball-Club e. V.

     Eckermannstraße 150 

     12683 Berlin",030 57705777,vorsitz(at)marzahner-vc(dot)de,www.marzahner-vc.de
Pferdefreunde Hoppegarten,"Pferdefreunde Hoppegarten

      

      Berlin",null,null,null
Miyako Kase Ha Karate e. V.,"Miyako Kase Ha Karate e. V.

     Glienicker Str. 79 

     14612 Falkensee",0170-22 65 687,christian(at)miyako-karate(dot)de,www.miyako-karate.de
Spielgemeinschaft Stern Kaulsdorf e. V.,"Spielgemeinschaft Stern Kaulsdorf e. V.

     Lassaner Straße 19 

     12621 Berlin",56589596,info(at)stern-kaulsdorf(dot)de,www.stern-kaulsdorf.de
Shall We Dance Berlin e. V.,"Shall We Dance Berlin e. V.

     Schützenstraße 30 

     12165 Berlin",null,info(at)shallwedance-berlin(dot)de,www.shallwedance-berlin.de
Turn- und Sportverein Rudow 1888 e.V.,"Turn- und Sportverein Rudow 1888 e.V.

     Prierosser Str. 30 

     12357 Berlin",6644243,tsv.rudow(at)gmx(dot)de,www.tsv-rudow.de
Kampfkunstverein Qwan Ki Do Berlin-Karlshorst e. V.,"Kampfkunstverein Qwan Ki Do Berlin-Karlshorst e. V.

     Postfach 94 02 36 

     12442 Berlin",null,AnkeMaerten(at)qwankidoberlin(dot)de,www.qwankido-berlin-karlshorst.de
RDM-Sport Verein für Gesundheitssport e. V.,"RDM-Sport Verein für Gesundheitssport e. V.

     Bergmannstr. 5  

     10961 Berlin",030 61201555,rdm-sport(at)hotmail(dot)com,null
SG Rot-Weiß Tempelhof e. V.,"SG Rot-Weiß Tempelhof e. V.

     Tutzinger Str. 36 

     12309 Berlin",491728186276,a.vater(at)rwb-berlin(dot)de,www.rwt-berlin.de
Creativballistik 99 e. V.,"Creativballistik 99 e. V.

     Oppelner Straße 46/47 

     10997 Berlin",44678122,kontakt(at)creativballistik(dot)de,http://www.creativballistik.de
Kampfkunst Shin Do e. V.,"Kampfkunst Shin Do e. V.

     Storkower Straße 213 

     10367 Berlin",null,null,www.zen-karate.de
Tennisclub Charlottenburg Nord e.V.,"Tennisclub Charlottenburg Nord e.V.

     Gatower Straße 111 

     13595 Berlin",36282663,erhardkohlwage(at)web(dot)de,www.tcn-berlin.de
Skisport-Gemeinschaft Berlin e. V.,"Skisport-Gemeinschaft Berlin e. V.

     Seidelbastweg 111 

     12357 Berlin",66064799,juergen.kalwitz(at)gmail(dot)com,null
Angel- und Wassersportfreunde Schöneweide e. V.,"Angel- und Wassersportfreunde Schöneweide e. V.

     Postfach 94 01 24 

     12441 Berlin",030-679 26 015,steffen-axel(at)gmx(dot)de,null
1. Frauenfußballverein Spandau e. V.,"1. Frauenfußballverein Spandau e. V.

     Weißenburger Straße 24 

     13595 Berlin",0176-723 411 48,1ffvspandau(at)gmail(dot)com,null
Sportverein Minol Berlin e. V.,"Sportverein Minol Berlin e. V.

     Frankfurter Allee 132 

     10365 Berlin",5534064,null,null
Fußball-Vereinigung Wannsee e. V.,"Fußball-Vereinigung Wannsee e. V.

     Am Kleinen Wannsee 23 e 

     14109 Berlin",805 39 86,r.gartenbach(at)vodafone(dot)de,www.fv-wannsee.de
SG des Bezirksamtes Friedrichshain-Kreuzberg,"SG des Bezirksamtes Friedrichshain-Kreuzberg

     Frankfurter Allee 35/37 

     10247 Berlin",902984648,oliver.kuehle(at)ba-fk.berlin(dot)de,www.sg-ba-fk.homepage.t-online.de
Off-Road-Club Berlin e. V. im ADAC,"Off-Road-Club Berlin e. V. im ADAC

     Waldsassener Straße 61 

     12279 Berlin",7217161,info(at)orcb(dot)de,www.offroadclub-berlin.de
Badminton Club PreussenPark 09 e. V.,"Badminton Club PreussenPark 09 e. V.

     Vivaldistraß 39 

     15831 Blankenfelde-Mahlow",1777226185,bcpp-1.vorstand(at)web(dot)de,www.bcpp.de
Tauchsportclub Nautilus e.V.,"Tauchsportclub Nautilus e.V.

     Alfredstraße 24 

     10365 Berlin",null,Dirk.Selchow(at)ppddd(dot)de,www.tc-nautilus-berlin.de
Tisch-Tennis-Club Südost e.V.,"Tisch-Tennis-Club Südost e.V.

     Forster Str. 53 

     10999 Berlin",81619001,hoffmann(at)ttc-suedost(dot)de,www.ttc-suedost.de
BSG Deutschlandradio/ Deutsche Welle Berlin e.V.,null,null,null,null
Albatros Tageszentrum Tegel-Süd,"Albatros Tageszentrum Tegel-Süd

      

      Berlin",null,null,null
Turn-Sport-Club Berlin 1893 e. V.,"Turn-Sport-Club Berlin 1893 e. V.

     Pätzer Straße 15 

     12359 Berlin",60 97 88 22,geschaeftsstelle(at)tsc-berlin(dot)de,www.tsc-berlin.de
D'ARTagnan e. V.,"D'ARTagnan e. V.

     Argentinische Allee 95 

     14163 Berlin",null,vorsitzender(at)dartagnan-ev(dot)de,null
BSG Commerzbank Berlin,"BSG Commerzbank Berlin

     Potsdamer Straße 125 

     10783 Berlin",26532420,null,null
Berliner Sport-Verein 1892 e.V.,"Berliner Sport-Verein 1892 e.V.

     Blissestraße 58 

     10713 Berlin",030-8249324,info(at)bsv1892(dot)de,www.bsv1892.de
Hundesportverein Berlin-Adlershof e. V.,"Hundesportverein Berlin-Adlershof e. V.

     Rudower Straße 196 

     12557 Berlin",15774132887,null,null
Creative Club Berlin Club für Amateurtanzsport,"Creative Club Berlin Club für Amateurtanzsport

     Hennigsdorfer Straße 34 

     13503 Berlin",436 69 080,daniel.stelter(at)gmx(dot)de,www-creative-club-berlin.de
Sport-Club Brandenburg e. V.,"Sport-Club Brandenburg e. V.

     Harbigstraße 40 

     14055 Berlin",3019421,info(at)scbrandenburgberlin(dot)de,www.scbrandenburgberlin.de
FC Roter Stern Reinickendorf Berlin 2009 e. V.,"FC Roter Stern Reinickendorf Berlin 2009 e. V.

     Emmentaler Straße 153 

     13409 Berlin",4950900 oder 01743151849,null,null
Oranje Berlin e. V.,"Oranje Berlin e. V.

     Pestalozzistraße 55 

     10627 Berlin",1787521847,info(at)oranjeberlin(dot)de,www.oranjeberlin.de
Segler-Vereinigung Unterhavel e. V.,"Segler-Vereinigung Unterhavel e. V.

     Scharfe Lanke 133 b 

     13595 Berlin",3615671,info(at)svuh(dot)de,www.svuh.de
1. Fußball-Club Marzahn 94 e. V.,"1. Fußball-Club Marzahn 94 e. V.

     Geraer Ring 30 a 

     12689 Berlin",9339397,kontakt(at)1fc-marzahn94(dot)de,www.1fc-marzahn94.de
Judo-Karate-Klub Nippon Berlin e. V.,"Judo-Karate-Klub Nippon Berlin e. V.

     Mittelstraße 34 

     12167 Berlin",7913767,nipponbln(at)aol(dot)com,null
Sportschützen Sipahi,"Sportschützen Sipahi

      

      Berlin",null,null,null
Badminton-Freunde Tempelhof,"Badminton-Freunde Tempelhof

     Gontermannstraße 46 

     12101 Berlin",78913462,rolf-dietermeier(at)arcor(dot)de,null
Grünauer Kanuverein 1990 e. V.,"Grünauer Kanuverein 1990 e. V.

     Regattastraße 231 

     12527 Berlin",6744105,gk90(at)online(dot)de,null
Shorinji Kempo Berlin,"Shorinji Kempo Berlin

     Bödikerestr. 10 

     10245 Berlin",null,null,null
Schützenverein Lichtenberg e. V.,"Schützenverein Lichtenberg e. V.

     Coloniaallee 39 

     12524 Berlin",1723130076,dieterjo.schroeder(at)googlemail(dot)com,null
Golf Club Mahlow e. V.,"Golf Club Mahlow e. V.

     Kiefernweg  

     15831 Mahlow",3379370595,info(at)gcmahlow(dot)de,www.gcmahlow.de
Tennisclub Grün-Weiß Baumschulenweg e. V.,"Tennisclub Grün-Weiß Baumschulenweg e. V.

     Baumschulenstraße 1 a 

     12437 Berlin",5323972,info(at)tennisclub-gruen-weiss(dot)de,www.tennisclub-gruen-weiss.de
Fachvereinigung Tischtennis,"Fachvereinigung Tischtennis

     Olympiapark Berlin, Hanns-Braun-Str./Adlerplatz 

     14053 Berlin",34 70 96 36,fvtt-berlin(at)t-online(dot)de,null
SpVgg Spandau 78 e.V.,"SpVgg Spandau 78 e.V.

     Lindenufer 34 

     13597 Berlin",(030) 3338484,spandau78(at)gmx(dot)de,http://www.spandau78.de/
Berliner Schwimmverein von 1878 e. V.,"Berliner Schwimmverein von 1878 e. V.

     Deutsch-Kroner Ring 7 

     12349 Berlin",6215068,daniela.brokate(at)berlin(dot)de,www.bsv1878.de
Berliner Fallschirmsportverband e. V.,"Berliner Fallschirmsportverband e. V.

     Am Berl 13 

     13051 Berlin",536 87 12,fw(at)fwf(dot)de,null
windworkers e. V.,"windworkers e. V.

     Postfach 84 03 01 

     12533 Berlin",0700 / 94 63 96 75 3,info(at)windworkers(dot)de,www.windworkers.de
Kegelsportverein Berolina e. V.,"Kegelsportverein Berolina e. V.

     Burgwallstraße 40 

     13129 Berlin",4742529,wolfgang.neumann(at)wuestenrot(dot)de,null
Schachgemeinschaft Wiheil,"Schachgemeinschaft Wiheil

     Fidusallee 100 

     15569 Woltersdorf",null,janik-mario(at)web(dot)de,null
Sportliche Vereinigung Osram,"Sportliche Vereinigung Osram

     Nonnendammallee 44-61 

     13625 Berlin",33 86 2233,uwu.wulf(at)web(dot)de,null
Segel Club Wiking e.V.,"Segel Club Wiking e.V.

     Buttenstedtweg 26 

     12587 Berlin",+49 30 6455788,vorstand(at)scwiking(dot)de,www.scwiking.de
TrampolinTurnClub Berlin e. V.,"TrampolinTurnClub Berlin e. V.

     Kurmärkische Straße 10 

     10783 Berlin",17677993060,wochnowski(at)gmx(dot)de,null
Volleyballverein Netz-Decke-Aus,"Volleyballverein Netz-Decke-Aus

     Kurze Straße 17 

     12167 Berlin",174837373,null,null
Segel-Club Nordstern Spandau e. V.,"Segel-Club Nordstern Spandau e. V.

     Elkartweg 28 

     13587 Berlin",3352558,vorstand(at)segel-club-nordstern(dot)de,www.segel-club-nordstern.de
Living Legends Berlin e. V.,"Living Legends Berlin e. V.

     Kaiserstraße 141 

     12105 Berlin",1717743076,marius-knaak(at)gmx(dot)de,www.llberlin.de
Wasserski-Club Berlin e. V.,"Wasserski-Club Berlin e. V.

     Pfleidererstr. 7 

     12205 Berlin",0 173 296 55 94,info(at)wasserskiclub-berlin(dot)de,www.wasserskiclub-berlin.de
Allgemeiner Turn-Verein zu Berlin 1861 e. V.,"Allgemeiner Turn-Verein zu Berlin 1861 e. V.

     Vor dem Schlesischen Tor 1 

     10997 Berlin",610 74 336,info(at)atv-berlin(dot)de,www.atv-berlin.de
City-Sport e. V.,"City-Sport e. V.

     Zossener Straße 97 

     12629 Berlin",null,null,null
Ho-Sin-Sul Berlin e. V.,"Ho-Sin-Sul Berlin e. V.

     Torstraße 205 

     10115 Berlin",null,info(at)hosinsul-berlin-ev(dot)de,hosinsul-berlin-ev.de
Boxsportverein Impartial Fight Club Organisation-BERLIN e. V.,"Boxsportverein Impartial Fight Club Organisation-BERLIN e. V.

     Charlottenstraße 1 

     12557 Berlin",49787488,boxgym-coepenick(at)freenet(dot)de,www.box-gym.de
Tur Abdin Berlin e.V.,"Tur Abdin Berlin e.V.

     Lüderitzstraße 31 

     13351 Berlin",17610548881,info(at)turabdinberlin(dot)de,www.turabdinberlin.de
MedVital e. V.,"MedVital e. V.

     Lautenthaler Straße 5 a 

     13129 Berlin",47599717,medvitalpankow(at)yahoo(dot)de,null
ARENA Schützenverein,"ARENA Schützenverein

      

      Berlin",null,null,null
Sportliche Vereinigung Berliner Bären e. V.,"Sportliche Vereinigung Berliner Bären e. V.

     Veitstr. 28 

     13507 Berlin",1783931033,andy.mr(at)arcor(dot)de,www.svberlinerbaeren.de
Verein für Ballspielarten Fortuna Biesdorf 1905 e. V.,"Verein für Ballspielarten Fortuna Biesdorf 1905 e. V.

     Am Grabensprung 56 

     12683 Berlin",21 960 475,info(at)vfb-fortuna-biesdorf(dot)de,www.vfb-fortuna-biesdorf.de
Sportgemeinschaft Sportfreunde Johannisthal 1930 e. V.,"Sportgemeinschaft Sportfreunde Johannisthal 1930 e. V.

     Akeleiweg 66 

     12487 Berlin",669 20 043,verein(at)johannisthal(dot)de,www.johannisthal.de
FSK - Frauensport und Kampfkunst,"FSK - Frauensport und Kampfkunst

     Amendestraße 79 

     13409 Berlin",495 0882,fsk(at)shuri-ryu(dot)de,www.shuri-ryu.de
ZIB/ACCSB,"ZIB/ACCSB

      

      Berlin",null,null,null
Tempelhofer Spielvereinigung Helgoland e.V.,"Tempelhofer Spielvereinigung Helgoland e.V.

     Friedrich-Willhelm-Straße 68 

     12103 Berlin",227 38254,null,www.TSVHelgoland97.de
BSG Rot-Schwarz 65,"BSG Rot-Schwarz 65

     Nahariyastraße 41 

     12309 Berlin",74004260,rotschwarz65(at)versanet(dot)de,null
Eisenbahner-Sportverein Pankow 49 e. V.,"Eisenbahner-Sportverein Pankow 49 e. V.

     Okertalstraße 35 

     13129 Berlin",4743036,mangerhoefer(at)gmx(dot)de,null
Ruderverein Preußen e. V.,"Ruderverein Preußen e. V.

     Freiheit 17 

     16761 Hennigsdorf/Stolpe Süd",null,vorstand(at)rv-preussen(dot)de,www.rv-preussen.de
Freizeit-Sportclub Steglitz e. V.,"Freizeit-Sportclub Steglitz e. V.

     Sickingenstraße 39 

     10553 Berlin",1773453536,null,null
Krebssportgemeinschaft Berlin e. V.,"Krebssportgemeinschaft Berlin e. V.

     Alt-Stralau 21 

     10245 Berlin",61204204,krebssport(at)arcor(dot)de,null
GrapevinerS e. V.,"GrapevinerS e. V.

     Mertensstraße 63 

     13587 Berlin",null,null,null
Mountain Bike Verein Berlin e. V.,"Mountain Bike Verein Berlin e. V.

     Am Irissee 4 

     12349 Berlin",40039447,dk.borrmann(at)versanet(dot)de,www.mtb-verein-berlin.de
